"",".id","ISO3","id","continent","scenario","kwh"
"1",1,"AGO","Baseline","Africa","kwh_S0",21089905761.9922
"2",1,"BDI","Baseline","Africa","kwh_S0",21089905761.9922
"3",1,"BEN","Baseline","Africa","kwh_S0",21089905761.9922
"4",1,"BFA","Baseline","Africa","kwh_S0",21089905761.9922
"5",1,"BWA","Baseline","Africa","kwh_S0",21089905761.9922
"6",1,"CAF","Baseline","Africa","kwh_S0",21089905761.9922
"7",1,"CIV","Baseline","Africa","kwh_S0",21089905761.9922
"8",1,"CMR","Baseline","Africa","kwh_S0",21089905761.9922
"9",1,"COD","Baseline","Africa","kwh_S0",21089905761.9922
"10",1,"COG","Baseline","Africa","kwh_S0",21089905761.9922
"11",1,"DJI","Baseline","Africa","kwh_S0",21089905761.9922
"12",1,"ERI","Baseline","Africa","kwh_S0",21089905761.9922
"13",1,"ETH","Baseline","Africa","kwh_S0",21089905761.9922
"14",1,"GAB","Baseline","Africa","kwh_S0",21089905761.9922
"15",1,"GHA","Baseline","Africa","kwh_S0",21089905761.9922
"16",1,"GIN","Baseline","Africa","kwh_S0",21089905761.9922
"17",1,"GMB","Baseline","Africa","kwh_S0",21089905761.9922
"18",1,"GNB","Baseline","Africa","kwh_S0",21089905761.9922
"19",1,"GNQ","Baseline","Africa","kwh_S0",21089905761.9922
"20",1,"KEN","Baseline","Africa","kwh_S0",21089905761.9922
"21",1,"LBR","Baseline","Africa","kwh_S0",21089905761.9922
"22",1,"LSO","Baseline","Africa","kwh_S0",21089905761.9922
"23",1,"MDG","Baseline","Africa","kwh_S0",21089905761.9922
"24",1,"MLI","Baseline","Africa","kwh_S0",21089905761.9922
"25",1,"MOZ","Baseline","Africa","kwh_S0",21089905761.9922
"26",1,"MRT","Baseline","Africa","kwh_S0",21089905761.9922
"27",1,"MWI","Baseline","Africa","kwh_S0",21089905761.9922
"28",1,"NAM","Baseline","Africa","kwh_S0",21089905761.9922
"29",1,"NER","Baseline","Africa","kwh_S0",21089905761.9922
"30",1,"NGA","Baseline","Africa","kwh_S0",21089905761.9922
"31",1,"RWA","Baseline","Africa","kwh_S0",21089905761.9922
"32",1,"ESH","Baseline","Africa","kwh_S0",21089905761.9922
"33",1,"SDN","Baseline","Africa","kwh_S0",21089905761.9922
"34",1,"SSD","Baseline","Africa","kwh_S0",21089905761.9922
"35",1,"SEN","Baseline","Africa","kwh_S0",21089905761.9922
"36",1,"SLE","Baseline","Africa","kwh_S0",21089905761.9922
"37",1,"SOM","Baseline","Africa","kwh_S0",21089905761.9922
"38",1,"SWZ","Baseline","Africa","kwh_S0",21089905761.9922
"39",1,"TCD","Baseline","Africa","kwh_S0",21089905761.9922
"40",1,"TGO","Baseline","Africa","kwh_S0",21089905761.9922
"41",1,"TZA","Baseline","Africa","kwh_S0",21089905761.9922
"42",1,"UGA","Baseline","Africa","kwh_S0",21089905761.9922
"43",1,"ZAF","Baseline","Africa","kwh_S0",21089905761.9922
"44",1,"ZMB","Baseline","Africa","kwh_S0",21089905761.9922
"45",1,"ZWE","Baseline","Africa","kwh_S0",21089905761.9922
"46",1,"AGO","Baseline","Africa","kwh_S1",37437937909.8125
